Manufacturer,Car,Truck,All
BMW,277,363,302
BYD Motors,0,-,0
FCA,300,384,357
Ford,261,385,315
GM,283,397,331
Honda,237,320,266
Hyundai,243,312,249
Jaguar Land Rover,376,439,426
Kia,258,324,266
Mazda,241,324,263
Mercedes,316,393,343
Nissan-Mitsubishi,258,379,294
Subaru,257,296,282
Tesla,0,-,0
Toyota,221,354,273
VW,274,330,281
Volvo,297,343,311
All Manufacturers,259,369,302
